Lused,time,recall,errorrate,points,unique
5,2551672,0.6687,0.424607,851390,71780
6,2540537,0.7157,0.314884,1020224,80548
7,1000098,0.75095,0.246262,1180285,88805
8,1083818,0.78075,0.197281,1352331,95899
9,2009545,0.815,0.150167,1521289,106170
10,804823,0.833,0.12152,1690096,113502
11,797582,0.85045,0.104141,1857967,119449
12,1985240,0.8671,0.0843679,2033391,133021
13,811186,0.8805,0.0734525,2207080,137596
14,822169,0.8895,0.0655461,2372163,141223
15,826961,0.8989,0.0581301,2531718,147417
16,1450976,0.90625,0.0518861,2700475,154754
17,2468696,0.91195,0.0474183,2871248,162560
18,2283432,0.91775,0.0431934,3034169,167242
19,2430686,0.9203,0.0409393,3207737,170636
20,869497,0.92435,0.0373263,3360567,173885
21,877056,0.9285,0.0351812,3530914,178056
22,892894,0.93295,0.03243,3709285,182179
23,902864,0.93595,0.0312675,3852817,183804
24,917851,0.9398,0.0287104,4038781,189682
25,921649,0.94285,0.0261478,4199229,192889
26,929122,0.9452,0.0248653,4372072,195369
27,933158,0.94765,0.0242264,4523801,199303
28,945799,0.95005,0.0230754,4687285,203651
29,953384,0.9546,0.0207749,4865513,210195
30,966793,0.95645,0.0194249,5015955,211784
31,969348,0.9581,0.0188532,5195282,215520
32,984437,0.9603,0.0175298,5363890,218116
33,989538,0.96215,0.016588,5520134,220495
34,992863,0.96425,0.0160941,5677476,223515
35,999144,0.96535,0.0158604,5854583,226580
36,1009354,0.9669,0.0153092,6023816,230649
37,1014938,0.96765,0.0149181,6196558,234336
38,1026792,0.96805,0.0145796,6361678,236124
39,1052955,0.96975,0.0121653,6527828,241346
40,1056460,0.97135,0.0116561,6697408,244850
41,1078648,0.97285,0.0107849,6879833,249730
42,1055870,0.9732,0.0104073,7035561,251325
43,1077139,0.97415,0.0100524,7200850,254044
44,1097276,0.97515,0.00971674,7369822,258176
45,1088324,0.97665,0.00877379,7515041,260239
46,1100790,0.97745,0.00861792,7712397,269582
47,1116026,0.9782,0.00845371,7876974,272790
48,1111458,0.9785,0.0079894,8047955,274796
49,1116268,0.9789,0.00789071,8203266,276893
50,1129556,0.9792,0.00782966,8365607,277940
