Lused,time,recall,errorrate,points
5,113128,0.6585,0.539859,322.539
6,223890,0.7113,0.381371,389.624
7,171018,0.73925,0.30675,452.347
8,211596,0.7715,0.239177,517.435
9,215910,0.79345,0.197102,580.318
10,253731,0.8128,0.169063,643.217
11,261865,0.83005,0.142728,707.71
12,202906,0.8427,0.125501,769.932
13,276208,0.8582,0.103363,839.042
14,285671,0.87685,0.0793527,911.731
15,214411,0.8904,0.0690464,978.58
16,168757,0.89695,0.0646316,1040.69
17,173542,0.9029,0.0619585,1105.85
18,193343,0.91235,0.056051,1175.58
19,180228,0.91615,0.053328,1237.15
20,187982,0.92205,0.0512708,1305.2
21,196334,0.9256,0.0479212,1370.08
22,197471,0.92915,0.0451804,1434.76
23,201108,0.933,0.0430206,1497.79
24,200128,0.93685,0.0343385,1564.59
25,207582,0.9411,0.0322203,1632.11
26,207893,0.9438,0.0302264,1696.15
27,213032,0.9468,0.0279963,1764.71
28,216902,0.9489,0.0262832,1827.67
29,223194,0.95235,0.0253087,1897.15
30,229291,0.95495,0.0244055,1961.89
31,229968,0.9577,0.0229806,2036.18
32,236553,0.9592,0.0216354,2098.53
33,241393,0.96105,0.0211892,2161.46
34,270313,0.96195,0.0202742,2224.9
35,352010,0.9634,0.0184579,2290.66
36,385713,0.96445,0.0177597,2349.82
37,427252,0.96505,0.0176406,2415.52
38,256670,0.96585,0.0174653,2485.93
39,264674,0.96765,0.0169753,2552.27
40,272276,0.97005,0.0158748,2623.94
41,269599,0.9713,0.0156296,2692.98
42,275947,0.9726,0.0153701,2761.58
43,274891,0.9734,0.0152429,2821.74
44,281342,0.97435,0.014288,2889.18
45,290783,0.97545,0.0138464,2957.64
46,292465,0.9764,0.0135506,3024.11
47,289996,0.97705,0.0132111,3089.12
48,329401,0.978,0.0126869,3159.09
49,319584,0.9788,0.012174,3226.52
50,320177,0.97965,0.012031,3293.58
